Spalte;Default;DataType;LogScale;Condition
barrier_limits_growth;1.00E+12;Float;1;?
barrier_algorithm;0;OneHot;0;?
barrier_crossover;0;OneHot;0;?
barrier_limits_corrections;-1;OneHot;0;?
barrier_ordering;0;OneHot;0;?
barrier_startalg;1;OneHot;0;?
emphasis_memory;no;OneHot;0;?
emphasis_mip;0;OneHot;0;?
emphasis_numerical;no;OneHot;0;?
feasopt_mode;0;OneHot;0;?
lpmethod;0;OneHot;0;?
mip_cuts_cliques;0;OneHot;0;?
mip_cuts_covers;0;OneHot;0;?
mip_cuts_disjunctive;0;OneHot;0;?
mip_cuts_flowcovers;0;OneHot;0;?
mip_cuts_gomory;0;OneHot;0;?
mip_cuts_gubcovers;0;OneHot;0;?
mip_cuts_implied;0;OneHot;0;?
mip_cuts_mcfcut;0;OneHot;0;?
mip_cuts_mircut;0;OneHot;0;?
mip_cuts_pathcut;0;OneHot;0;?
mip_cuts_zerohalfcut;0;OneHot;0;?
mip_limits_aggforcut;3;Integer;0;?
mip_limits_cutsfactor;4;Float;1;?
mip_limits_cutpasses;0;OneHot;0;?
mip_limits_gomorycand;200;Integer;1;?
mip_limits_gomorypass;0;OneHot;0;?
mip_limits_strongcand;10;Integer;1;mip_strategy_variableselect__in__{3}
mip_limits_strongit;0;OneHot;0;mip_strategy_variableselect__in__{3}
mip_limits_submipnodelim;500;Integer;1;?
mip_ordertype;0;OneHot;0;mip_ordertype__in__{1,2,3}
mip_strategy_backtrack;0.9999;OneHot;0;?
mip_strategy_bbinterval;7;Integer;1;?
mip_strategy_branch;0;OneHot;0;?
mip_strategy_dive;0;OneHot;0;?
mip_strategy_file;1;OneHot;0;?
mip_strategy_fpheur;0;OneHot;0;?
mip_strategy_heuristicfreq;0;OneHot;0;?
mip_strategy_lbheur;no;OneHot;0;?
mip_strategy_nodeselect;1;OneHot;0;?
mip_strategy_order;yes;OneHot;0;?
mip_strategy_presolvenode;0;OneHot;0;?
mip_strategy_probe;0;OneHot;0;?
mip_strategy_rinsheur;0;OneHot;0;?
mip_strategy_search;0;OneHot;0;?
mip_strategy_startalgorithm;0;OneHot;0;?
mip_strategy_subalgorithm;0;OneHot;0;?
mip_strategy_variableselect;0;OneHot;0;?
network_netfind;2;OneHot;0;?
network_pricing;0;OneHot;0;?
perturbation_constant;0.000001;Float;1;simplex_perturbation_switch__in__{yes}
preprocessing_aggregator;-1;OneHot;0;?
preprocessing_boundstrength;-1;OneHot;0;?
preprocessing_coeffreduce;2;OneHot;0;?
preprocessing_dependency;-1;OneHot;0;?
preprocessing_dual;0;OneHot;0;?
preprocessing_fill;10;Integer;1;?
preprocessing_linear;1;OneHot;0;?
preprocessing_numpass;-1;OneHot;0;?
preprocessing_reduce;3;OneHot;0;?
preprocessing_relax;-1;OneHot;0;?
preprocessing_repeatpresolve;-1;OneHot;0;?
preprocessing_symmetry;-1;OneHot;0;?
read_scale;0;OneHot;0;?
sifting_algorithm;0;OneHot;0;?
simplex_crash;1;OneHot;0;?
simplex_dgradient;0;OneHot;0;?
simplex_limits_perturbation;0;OneHot;0;?
simplex_limits_singularity;10;Integer;1;?
simplex_perturbation_switch;no;OneHot;0;?
simplex_pgradient;0;OneHot;0;?
simplex_pricing;0;OneHot;0;?
simplex_refactor;0;OneHot;0;?
simplex_tolerances_markowitz;0.01;Float;1;?
